,aun,County,lea,lea_type,total_teachers,turnover,turnover_percent
2,126514368,Philadelphia,ACT Academy Cyber CS,CS,4,3.0,0.75
661,116493130,Columbia,Susq-Cyber CS,CS,6,4.0,0.6666666666666666
536,126510016,Philadelphia,Philadelphia Montessori CS,CS,9,5.0,0.5555555555555556
776,103020368,Allegheny,Young Scholars of McKeesport Charter Sch,CS,13,7.0,0.5384615384615384
346,126513110,Philadelphia,Laboratory CS,CS,23,11.0,0.4782608695652174
737,126510006,Philadelphia,West Phila. Achievement CES,CS,33,15.0,0.45454545454545453
667,126511530,Philadelphia,TECH Freire CS,CS,21,9.0,0.42857142857142855
8,125230001,Chester,Achievement House CS,CS,26,11.0,0.4230769230769231
714,141019741,Adams,Vida Charter School,CS,19,8.0,0.42105263157894735
330,126510013,Philadelphia,KIPP Philadelphia Charter School,CS,55,23.0,0.41818181818181815
554,103024952,Allegheny,Propel CS - Hazelwood,CS,17,7.0,0.4117647058823529
696,103519376,Philadelphia,Universal Daroff Charter School,CS,22,9.0,0.4090909090909091
646,103023410,Allegheny,Spectrum CS,CS,5,2.0,0.4
458,111440001,Huntingdon,New Day Charter School,CS,13,5.0,0.38461538461538464
556,103020005,Allegheny,Propel CS-East,CS,24,9.0,0.375
560,103028192,Allegheny,Propel CS-Northside,CS,27,10.0,0.37037037037037035
595,114514135,Philadelphia,Sankofa Freedom Academy Charter School,CS,30,11.0,0.36666666666666664
605,109420107,McKean,Seneca Highlands Career and Technical Ce,CTC,11,4.0,0.36363636363636365
391,126510014,Philadelphia,Maritime Academy Charter School,CS,46,16.0,0.34782608695652173
395,126519644,Philadelphia,Mastery CS - Cleveland Elementary,CS,49,17.0,0.3469387755102041
645,108515107,Philadelphia,Southwest Leadership Academy CS,CS,24,8.0,0.3333333333333333
332,172510793,Philadelphia,KIPP West Philadelphia Preparatory Chart,CS,21,7.0,0.3333333333333333
329,126514864,Philadelphia,KIPP DuBois Charter School,CS,36,12.0,0.3333333333333333
713,106619107,Venango,Venango Technology Center,CTC,12,4.0,0.3333333333333333
123,126513190,Philadelphia,Charter High School for Architecture and,CS,33,11.0,0.3333333333333333
312,121395526,Lehigh,Innovative Arts Academy CS,CS,25,8.0,0.32
394,126510002,Philadelphia,Mastery CHS - Lenfest Campus,CS,38,12.0,0.3157894736842105
129,125232950,Delaware,Chester Community CS,CS,238,75.0,0.31512605042016806
249,126518547,Philadelphia,Frederick Douglass Mastery Charter Schoo,CS,48,15.0,0.3125
4,181519176,Philadelphia,ASPIRA Bilingual Cyber Charter School,CS,23,7.0,0.30434782608695654
553,126512960,Philadelphia,Preparatory CS of Mathematics Science,CS,33,10.0,0.30303030303030304
389,126513480,Philadelphia,Mariana Bracetti Academy CS,CS,66,20.0,0.30303030303030304
279,108057079,Bedford,HOPE for Hyndman CS,CS,20,6.0,0.3
345,113362940,Lancaster,La Academia Partnership Charter School,CS,20,6.0,0.3
406,126510023,Philadelphia,Mastery CS-Thomas Campus,CS,80,24.0,0.3
397,126513290,Philadelphia,Mastery CS - Hardy Williams,CS,72,21.0,0.2916666666666667
557,103020002,Allegheny,Propel CS-Homestead,CS,46,13.0,0.2826086956521739
735,126513020,Philadelphia,West Oak Lane CS,CS,50,14.0,0.28
